Year,Month,Week Days Number,Website
2013,April,28,https://coinmarketcap.com/historical/20130428/
2013,May,5,https://coinmarketcap.com/historical/20130505/
2013,May,12,https://coinmarketcap.com/historical/20130512/
2013,May,19,https://coinmarketcap.com/historical/20130519/
2013,May,26,https://coinmarketcap.com/historical/20130526/
2013,June,2,https://coinmarketcap.com/historical/20130602/
2013,June,9,https://coinmarketcap.com/historical/20130609/
2013,June,16,https://coinmarketcap.com/historical/20130616/
2013,June,23,https://coinmarketcap.com/historical/20130623/
2013,June,30,https://coinmarketcap.com/historical/20130630/
2013,July,7,https://coinmarketcap.com/historical/20130707/
2013,July,14,https://coinmarketcap.com/historical/20130714/
2013,July,21,https://coinmarketcap.com/historical/20130721/
2013,July,28,https://coinmarketcap.com/historical/20130728/
2013,August,4,https://coinmarketcap.com/historical/20130804/
2013,August,11,https://coinmarketcap.com/historical/20130811/
2013,August,18,https://coinmarketcap.com/historical/20130818/
2013,August,25,https://coinmarketcap.com/historical/20130825/
2013,September,1,https://coinmarketcap.com/historical/20130901/
2013,September,8,https://coinmarketcap.com/historical/20130908/
2013,September,15,https://coinmarketcap.com/historical/20130915/
2013,September,22,https://coinmarketcap.com/historical/20130922/
2013,September,29,https://coinmarketcap.com/historical/20130929/
2013,October,6,https://coinmarketcap.com/historical/20131006/
2013,October,13,https://coinmarketcap.com/historical/20131013/
2013,October,20,https://coinmarketcap.com/historical/20131020/
2013,October,27,https://coinmarketcap.com/historical/20131027/
2013,November,3,https://coinmarketcap.com/historical/20131103/
2013,November,10,https://coinmarketcap.com/historical/20131110/
2013,November,17,https://coinmarketcap.com/historical/20131117/
2013,November,24,https://coinmarketcap.com/historical/20131124/
2013,December,1,https://coinmarketcap.com/historical/20131201/
2013,December,8,https://coinmarketcap.com/historical/20131208/
2013,December,15,https://coinmarketcap.com/historical/20131215/
2013,December,22,https://coinmarketcap.com/historical/20131222/
2013,December,29,https://coinmarketcap.com/historical/20131229/
2014,January,5,https://coinmarketcap.com/historical/20140105/
2014,January,12,https://coinmarketcap.com/historical/20140112/
2014,January,19,https://coinmarketcap.com/historical/20140119/
2014,January,26,https://coinmarketcap.com/historical/20140126/
2014,February,2,https://coinmarketcap.com/historical/20140202/
2014,February,9,https://coinmarketcap.com/historical/20140209/
2014,February,16,https://coinmarketcap.com/historical/20140216/
2014,February,23,https://coinmarketcap.com/historical/20140223/
2014,March,2,https://coinmarketcap.com/historical/20140302/
2014,March,9,https://coinmarketcap.com/historical/20140309/
2014,March,16,https://coinmarketcap.com/historical/20140316/
2014,March,23,https://coinmarketcap.com/historical/20140323/
2014,March,30,https://coinmarketcap.com/historical/20140330/
2014,April,6,https://coinmarketcap.com/historical/20140406/
2014,April,13,https://coinmarketcap.com/historical/20140413/
2014,April,20,https://coinmarketcap.com/historical/20140420/
2014,April,27,https://coinmarketcap.com/historical/20140427/
2014,May,4,https://coinmarketcap.com/historical/20140504/
2014,May,11,https://coinmarketcap.com/historical/20140511/
2014,May,18,https://coinmarketcap.com/historical/20140518/
2014,May,25,https://coinmarketcap.com/historical/20140525/
2014,June,1,https://coinmarketcap.com/historical/20140601/
2014,June,8,https://coinmarketcap.com/historical/20140608/
2014,June,15,https://coinmarketcap.com/historical/20140615/
2014,June,22,https://coinmarketcap.com/historical/20140622/
2014,June,29,https://coinmarketcap.com/historical/20140629/
2014,July,6,https://coinmarketcap.com/historical/20140706/
2014,July,13,https://coinmarketcap.com/historical/20140713/
2014,July,20,https://coinmarketcap.com/historical/20140720/
2014,July,27,https://coinmarketcap.com/historical/20140727/
2014,August,3,https://coinmarketcap.com/historical/20140803/
2014,August,10,https://coinmarketcap.com/historical/20140810/
2014,August,17,https://coinmarketcap.com/historical/20140817/
2014,August,24,https://coinmarketcap.com/historical/20140824/
2014,August,31,https://coinmarketcap.com/historical/20140831/
2014,September,7,https://coinmarketcap.com/historical/20140907/
2014,September,14,https://coinmarketcap.com/historical/20140914/
2014,September,21,https://coinmarketcap.com/historical/20140921/
2014,September,28,https://coinmarketcap.com/historical/20140928/
2014,October,5,https://coinmarketcap.com/historical/20141005/
2014,October,12,https://coinmarketcap.com/historical/20141012/
2014,October,19,https://coinmarketcap.com/historical/20141019/
2014,October,26,https://coinmarketcap.com/historical/20141026/
2014,November,2,https://coinmarketcap.com/historical/20141102/
2014,November,9,https://coinmarketcap.com/historical/20141109/
2014,November,16,https://coinmarketcap.com/historical/20141116/
2014,November,23,https://coinmarketcap.com/historical/20141123/
2014,November,30,https://coinmarketcap.com/historical/20141130/
2014,December,7,https://coinmarketcap.com/historical/20141207/
2014,December,14,https://coinmarketcap.com/historical/20141214/
2014,December,21,https://coinmarketcap.com/historical/20141221/
2014,December,28,https://coinmarketcap.com/historical/20141228/
2015,January,4,https://coinmarketcap.com/historical/20150104/
2015,January,11,https://coinmarketcap.com/historical/20150111/
2015,January,18,https://coinmarketcap.com/historical/20150118/
2015,January,25,https://coinmarketcap.com/historical/20150125/
2015,February,1,https://coinmarketcap.com/historical/20150201/
2015,February,8,https://coinmarketcap.com/historical/20150208/
2015,February,15,https://coinmarketcap.com/historical/20150215/
2015,February,22,https://coinmarketcap.com/historical/20150222/
2015,March,1,https://coinmarketcap.com/historical/20150301/
2015,March,8,https://coinmarketcap.com/historical/20150308/
2015,March,15,https://coinmarketcap.com/historical/20150315/
2015,March,22,https://coinmarketcap.com/historical/20150322/
2015,March,29,https://coinmarketcap.com/historical/20150329/
2015,April,5,https://coinmarketcap.com/historical/20150405/
2015,April,12,https://coinmarketcap.com/historical/20150412/
2015,April,19,https://coinmarketcap.com/historical/20150419/
2015,April,26,https://coinmarketcap.com/historical/20150426/
2015,May,3,https://coinmarketcap.com/historical/20150503/
2015,May,10,https://coinmarketcap.com/historical/20150510/
2015,May,17,https://coinmarketcap.com/historical/20150517/
2015,May,24,https://coinmarketcap.com/historical/20150524/
2015,May,31,https://coinmarketcap.com/historical/20150531/
2015,June,7,https://coinmarketcap.com/historical/20150607/
2015,June,14,https://coinmarketcap.com/historical/20150614/
2015,June,21,https://coinmarketcap.com/historical/20150621/
2015,June,28,https://coinmarketcap.com/historical/20150628/
2015,July,5,https://coinmarketcap.com/historical/20150705/
2015,July,12,https://coinmarketcap.com/historical/20150712/
2015,July,19,https://coinmarketcap.com/historical/20150719/
2015,July,26,https://coinmarketcap.com/historical/20150726/
2015,August,2,https://coinmarketcap.com/historical/20150802/
2015,August,9,https://coinmarketcap.com/historical/20150809/
2015,August,16,https://coinmarketcap.com/historical/20150816/
2015,August,23,https://coinmarketcap.com/historical/20150823/
2015,August,30,https://coinmarketcap.com/historical/20150830/
2015,September,6,https://coinmarketcap.com/historical/20150906/
