Rank,Name,Symbol,market Cap,Price,Circulating Price,1hour %,24 Hour %,7d %,Volume(24 H)
1,Bitcoin,BTC,$324093186300.92,$16841.99,19243168 BTC,0.08%,-0.03%,0.50%,$11656379938.06
2,Ethereum,ETH,$149169092950.40,$1218.96,122373866 ETH *,0.12%,-0.18%,2.89%,$3942720070.47
3,Tether,USDT,$66243849258.58,$0.9999,66247647090 USDT *,0.00%,0.00%,-0.02%,$14856104217.46
4,USD Coin,USDC,$44348890607.38,$1.00,44345240440 USDC *,0.00%,0.00%,0.03%,$1380163674.19
5,BNB,BNB,$38894316962.85,$243.14,159965769 BNB *,0.06%,-0.61%,-3.19%,$298063868.05
6,XRP,XRP,$17438570226.36,$0.3464,50343500506 XRP *,0.09%,-1.64%,-1.11%,$323700210.23
7,Binance USD,BUSD,$17393414909.52,$1.00,17388891975 BUSD *,0.04%,0.00%,0.02%,$2742694443.35
8,Dogecoin,DOGE,$10076566956.65,$0.07595,132670764300 DOGE,0.37%,-2.18%,-3.42%,$423876256.83
9,Cardano,ADA,$8945785641.41,$0.2593,34503744627 ADA *,0.37%,-0.04%,-2.65%,$118238325.94
10,Polygon,MATIC,$6944943117.07,$0.7951,8734317475 MATIC *,0.31%,-0.11%,-2.30%,$118950074.26
11,Dai,DAI,$5847586517.37,$1.00,5847337213 DAI *,0.03%,0.01%,0.11%,$98590278.03
12,Polkadot,DOT,$5168182598.74,$4.49,1150263047 DOT *,0.44%,0.88%,-3.66%,$87988204.59
13,TRON,TRX,$5042409485.27,$0.05481,91991253671 TRX *,0.02%,0.13%,1.91%,$112729217.63
14,Litecoin,LTC,$4976584253.49,$69.21,71909443 LTC,0.62%,5.22%,7.21%,$335124961.98
15,Shiba Inu,SHIB,$4551453927.84,$0.00000829,549063278876302 SHIB *,0.21%,-0.43%,-3.22%,$59394203.99
16,Solana,SOL,$4180006175.80,$11.39,367056722 SOL *,0.03%,-0.49%,-8.26%,$105389060.48
17,Uniswap,UNI,$3929874440.08,$5.16,762209327 UNI *,0.22%,-0.95%,-3.32%,$49149897.66
18,Avalanche,AVAX,$3637468062.45,$11.68,311304651 AVAX *,0.25%,0.04%,-2.00%,$96667767.92
19,UNUS SED LEO,LEO,$3447947960.08,$3.61,953954130 LEO *,-0.72%,-1.01%,-9.43%,$2798042.32
20,Wrapped Bitcoin,WBTC,$3100946665.40,$16806.87,184505 WBTC *,0.03%,-0.05%,0.55%,$53230517.16
21,Chainlink,LINK,$3040866462.10,$5.99,507999970 LINK *,0.30%,1.11%,0.38%,$140351135.75
22,Toncoin,TON,$2969682082.98,$2.43,1221401181 TON *,-0.39%,-0.60%,-8.51%,$60397925.66
23,Monero,XMR,$2646679380.68,$145.28,18218396 XMR,-0.05%,1.26%,0.65%,$49253630.21
24,Cosmos,ATOM,$2583178816.23,$9.02,286370297 ATOM *,-0.20%,0.55%,1.76%,$69795596.24
25,Ethereum Classic,ETC,$2244205310.39,$16.19,138626487 ETC,0.56%,-1.64%,1.39%,$91897881.60
26,Bitcoin Cash,BCH,$1952616106.12,$101.35,19265744 BCH,0.20%,-0.45%,-0.73%,$89486064.89
27,Stellar,XLM,$1928352970.45,$0.07386,26109567893 XLM *,0.09%,-0.72%,-3.58%,$27720363.66
28,Cronos,CRO,$1510925684.13,$0.05981,25263013692 CRO *,0.23%,-0.89%,4.87%,$9507403.61
29,OKB,OKB,$1388940572.39,$23.15,60000000 OKB *,0.51%,6.19%,6.81%,$19457592.02
30,ApeCoin,APE,$1297707700.33,$3.59,361250000 APE *,0.04%,-0.69%,2.94%,$58253944.40
31,Quant,QNT,$1278539857.15,$105.90,12072738 QNT *,0.35%,0.43%,-3.62%,$11234095.45
32,Algorand,ALGO,$1183786694.88,$0.1659,7136758204 ALGO *,0.19%,-1.49%,-12.16%,$29886441.36
33,VeChain,VET,$1171711472.87,$0.01616,72511146418 VET *,0.21%,-0.66%,-3.01%,$20393806.91
34,NEAR Protocol,NEAR,$1123853505.11,$1.33,844123352 NEAR *,0.04%,-0.44%,-2.50%,$34949213.15
35,Hedera,HBAR,$1089475391.16,$0.04351,25037572180 HBAR *,0.26%,-0.73%,-0.87%,$8274540.94
36,Internet Computer,ICP,$1051463232.08,$3.77,279153991 ICP *,0.12%,0.44%,2.23%,$12080350.27
37,Filecoin,FIL,$1040045881.32,$2.96,350970724 FIL,0.29%,0.96%,-3.07%,$62196934.27
38,EOS,EOS,$946122156.15,$0.8777,1077979016 EOS *,0.45%,-0.31%,-0.78%,$64716403.85
39,Pax Dollar,USDP,$941464593.43,$0.9956,945642940 USDP *,0.02%,-0.18%,-0.38%,$757344.32
40,Terra Classic,LUNC,$868723626.74,$0.0001455,5972782824141 LUNC *,1.05%,-0.15%,2.96%,$53784368.55
41,Bitcoin SV,BSV,$831994458.18,$43.19,19261583 BSV,0.24%,-1.76%,-3.42%,$21440119.40
42,Huobi Token,HT,$827270578.78,$5.39,153357694 HT *,-0.02%,-0.08%,-3.58%,$7717040.17
43,MultiversX (Elrond),EGLD,$803000931.62,$33.63,23875379 EGLD *,0.18%,-3.28%,-13.53%,$25289934.76
44,Flow,FLOW,$772076348.36,$0.7451,1036200000 FLOW *,0.21%,-1.62%,-2.74%,$10852069.73
45,Aave,AAVE,$767407102.82,$54.45,14093193 AAVE *,0.15%,-0.03%,-2.48%,$36091149.98
46,Theta Network,THETA,$759108243.54,$0.7591,1000000000 THETA *,0.17%,-2.09%,1.14%,$7264321.87
47,TrueUSD,TUSD,$753983086.58,$0.9999,753997699 TUSD *,0.00%,-0.02%,0.02%,$22563076.38
48,Tezos,XTZ,$723793635.67,$0.786,920868174 XTZ *,0.19%,-1.81%,-6.17%,$9409286.17
49,USDD,USDD,$713681932.29,$0.9839,725332036 USDD *,-0.08%,0.03%,0.27%,$19761444.13
50,Axie Infinity,AXS,$686769722.48,$6.89,99634148 AXS *,0.25%,-1.36%,0.62%,$33016829.17
51,Chiliz,CHZ,$678898249.98,$0.1106,6137378244 CHZ *,-0.04%,-0.96%,-6.24%,$36301961.34
52,The Sandbox,SAND,$663433868.98,$0.4424,1499470108 SAND *,0.17%,-1.50%,-6.35%,$49779236.63
53,KuCoin Token,KCS,$639502707.40,$6.50,98379861 KCS *,0.13%,0.67%,0.61%,$675469.44
54,Zcash,ZEC,$639110886.73,$39.95,15995913 ZEC,-0.13%,0.52%,-8.16%,$34293133.46
55,Decentraland,MANA,$607132305.08,$0.3273,1855084192 MANA *,-0.08%,-0.05%,0.25%,$42023729.55
56,BitTorrent-New,BTT,$603029334.84,$0.00000064,947962000000000 BTT *,-0.07%,-0.41%,0.36%,$6882568.78
57,Gemini Dollar,GUSD,$601763298.59,$0.9913,607049883 GUSD *,-0.26%,-0.46%,-1.27%,$297162.24
58,BitDAO,BIT,$589304170.02,$0.2818,2090946169 BIT *,0.09%,-1.36%,-4.15%,$6401777.37
59,Trust Wallet Token,TWT,$568980411.48,$1.37,416649900 TWT *,-0.02%,-5.41%,-20.01%,$80475783.35
60,Fantom,FTM,$561034286.79,$0.2027,2767605148 FTM *,0.29%,-0.90%,-1.42%,$32108549.94
61,PancakeSwap,CAKE,$545751052.47,$3.33,163706100 CAKE *,0.07%,-1.32%,-3.81%,$38116356.24
62,Maker,MKR,$528207451.50,$540.29,977631 MKR *,0.14%,-1.98%,-2.50%,$13606804.25
63,Klaytn,KLAY,$504197558.63,$0.1643,3069433926 KLAY *,-0.05%,1.12%,3.90%,$14084294.43
64,The Graph,GRT,$503949610.49,$0.05782,8715183325 GRT *,0.25%,-0.20%,0.37%,$11754484.21
65,Dash,DASH,$492855947.77,$44.55,11064156 DASH,0.58%,1.58%,4.73%,$72628008.65
66,PAX Gold,PAXG,$488719955.37,$1801.64,271264 PAXG *,0.06%,-0.05%,0.21%,$5485783.65
67,IOTA,MIOTA,$480467048.29,$0.1729,2779530283 MIOTA *,0.02%,1.31%,2.63%,$15892139.68
68,Aptos,APT,$465525247.11,$3.58,130000000 APT *,0.21%,-3.34%,-11.77%,$40978182.96
69,eCash,XEC,$460288413.21,$0.0000239,19261648423303 XEC,0.14%,-0.92%,-4.17%,$3220531.98
70,THORChain,RUNE,$452671971.29,$1.38,327056566 RUNE *,0.28%,-0.80%,4.85%,$15636977.02
71,Neo,NEO,$441673541.12,$6.26,70538831 NEO *,0.21%,-2.03%,-7.01%,$14019924.64
72,Fei USD,FEI,$421298837.14,$0.9913,424996178 FEI *,0.04%,-0.71%,-0.85%,$423192.45
73,GMX,GMX,$385462663.57,$46.01,8378287 GMX *,-0.02%,-1.14%,-0.60%,$4461498.64
74,Synthetix,SNX,$368542774.41,$1.48,248985833 SNX *,0.33%,-2.66%,-8.20%,$20350337.30
75,GateToken,GT,$367550156.97,$3.39,108265077 GT *,0.12%,-0.05%,0.44%,$1681054.61
76,Mina,MINA,$366555985.68,$0.4669,785095623 MINA *,0.02%,-1.00%,-1.65%,$3472213.53
77,Osmosis,OSMO,$365562785.91,$0.7421,492590761 OSMO *,-0.25%,-0.72%,-3.77%,$5779269.00
78,Nexo,NEXO,$364789214.64,$0.6514,560000011 NEXO *,-0.19%,-0.86%,2.33%,$2847982.79
79,Neutrino USD,USDN,$357373655.56,$0.5253,680266294 USDN *,-1.88%,-4.70%,-11.49%,$508572.95
80,Chain,XCN,$352699331.18,$0.01643,21472783889 XCN,-0.15%,-5.49%,-32.63%,$8381645.01
